episode,scramble,solved,steps,reward,epsilon,solve_rate,avg_steps,avg_reward,total_solves,best_streak,tile_accuracy
2780,3,false,25,-3.7500,0.757362,0.1200,22.38,8.9323,281,4,0.2500
2790,3,false,25,-4.5833,0.756681,0.1000,22.86,6.8698,281,4,0.2083
2800,3,false,25,-1.2500,0.755849,0.0900,23.04,5.8925,281,4,0.3333
2810,3,false,25,-7.9167,0.755093,0.0900,23.04,5.6883,282,4,0.1250
2820,3,false,25,-5.0000,0.754338,0.1000,22.86,6.5823,284,4,0.1250
2830,3,false,25,-6.2500,0.753660,0.1100,22.62,7.4782,285,4,0.0417
2840,3,false,25,-8.3333,0.752831,0.0800,23.26,4.1987,285,4,0.0833
2850,3,false,25,-2.9167,0.752079,0.0800,23.26,4.2945,285,4,0.1250
2860,3,false,25,-2.0833,0.751402,0.1000,22.84,6.3010,288,4,0.3333
2870,3,false,25,-8.3333,0.750576,0.0900,22.98,5.0902,289,4,0.0833
2880,3,false,25,-6.6667,0.749901,0.1100,22.48,7.0338,292,4,0.2500
2890,3,false,25,-7.0833,0.749151,0.1100,22.48,7.0005,292,4,0.2083
2900,3,false,25,-3.7500,0.748328,0.1100,22.48,7.0088,292,4,0.2500
2910,3,true,5,96.2667,0.747580,0.1300,22.08,9.1217,295,4,0.3333
2920,3,false,25,-2.0833,0.746907,0.1100,22.50,7.1193,295,4,0.2083
2930,3,false,25,-5.8333,0.746086,0.1100,22.50,7.1652,296,4,0.0833
2940,3,false,25,-2.0833,0.745340,0.1100,22.50,7.2485,296,4,0.4167
2950,3,false,25,1.6667,0.744595,0.1200,22.26,8.3818,297,4,0.5833
2960,3,false,25,-3.7500,0.743851,0.1000,22.68,6.3295,298,4,0.0833
2970,3,false,25,-1.2500,0.743107,0.0900,22.92,5.3253,298,4,0.3333
2980,3,false,25,-1.6667,0.742365,0.0700,23.40,3.3587,299,4,0.3333
2990,3,false,25,-8.3333,0.741622,0.0700,23.40,3.5420,299,4,0.0833
3000,3,false,25,-1.6667,0.740881,0.0900,22.96,5.5463,301,4,0.3333
3010,3,true,1,100.0000,0.740141,0.0700,23.36,3.4960,302,4,1.0000
3020,3,false,25,-3.3333,0.739475,0.0900,22.92,5.6503,304,4,0.1667
3030,3,false,25,-6.6667,0.738662,0.0900,22.92,5.5587,305,4,0.2500
3040,3,false,25,-4.5833,0.737923,0.1000,22.70,6.5358,306,4,0.0833
3050,3,false,25,-5.8333,0.737260,0.1100,22.46,7.4150,308,4,0.3333
3060,3,false,25,-2.5000,0.736596,0.1300,22.04,9.4757,311,4,0.3750
3070,3,false,25,-2.0833,0.735713,0.1400,21.80,10.5340,312,4,0.3333
3080,3,false,25,-4.5833,0.734977,0.1500,21.56,11.5632,314,4,0.3750
3090,3,false,25,-3.3333,0.734316,0.1700,21.08,13.6132,316,4,0.0833
3100,3,false,25,-5.8333,0.733509,0.1600,21.30,12.7110,317,4,0.0417
3110,3,true,15,98.6000,0.732776,0.1700,21.22,13.8200,319,4,0.3333
3120,3,false,25,-5.4167,0.732117,0.1700,21.18,13.7615,321,4,0.1250
3130,3,false,25,-2.5000,0.731312,0.1700,21.18,13.9407,322,4,0.1667
3140,3,false,25,-7.0833,0.730654,0.1900,20.82,15.9745,325,4,0.2083
3150,3,false,25,-2.5000,0.729850,0.1900,20.84,16.0433,327,4,0.2083
3160,3,false,25,-3.3333,0.729194,0.1700,21.26,13.9618,328,4,0.2917
3170,3,false,25,-4.1667,0.728392,0.1700,21.28,13.9473,329,4,0.2083
